Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,3944,1860,3943,481,0,1379,1543,9,0,12,game1
solved,123,117,31,40,0,77,97,92,92,0,game10
solved,3373472,837997,3373394,18205,0,819792,1572869,168,78,6029,game100
solved,13877,8138,13792,5696,0,2442,3079,85,85,19,game1000
unsolvable,82,66,81,13,0,53,97,11,0,0,game101
unsolvable,497745,198780,497744,61803,0,136977,196613,30,0,812,game102
unsolvable,43622932,18179077,43622931,10016891,0,8162186,12582917,57,0,72157,game103
solved,1025968,353388,1025872,40193,0,313195,393241,96,96,2035,game104
solved,403,224,294,38,0,186,193,109,109,0,game105
solved,125604,26888,125488,22,0,26866,49157,195,116,224,game106
solved,1496,653,1405,121,0,532,769,91,91,5,game107
unsolvable,245,160,244,2,0,158,193,13,0,0,game108
timed-out,155872720,44776694,155872675,17180212,0,27596482,50331653,98,45,300000,game109
solved,302,171,207,28,0,143,193,95,95,1,game11
unsolvable,38,24,37,0,0,24,53,4,0,0,game110
unsolvable,11804598,2954440,11804597,440165,0,2514275,3145739,59,0,24720,game111
solved,3792,1310,3703,234,0,1076,1543,89,89,5,game112
solved,15494572,3021330,15494490,1744,0,3019586,3145739,111,82,29246,game113
unsolvable,312153,139257,312152,59416,0,79841,98317,34,0,492,game114
solved,119,95,39,35,0,60,97,80,80,0,game115
solved,207,133,120,50,0,83,97,87,87,0,game116
unsolvable,1997,1175,1996,223,0,952,1543,11,0,7,game117
solved,26391,8747,26293,3581,0,5166,6151,98,98,42,game118
solved,56085,20504,56003,2544,0,17960,24593,82,82,97,game119
solved,1120037,280545,1119956,32,0,280513,393241,81,81,2139,game12
unsolvable,24647579,7198893,24647578,901637,0,6297256,12582917,42,0,58453,game120
solved,1997813,738697,1997730,126974,0,611723,786433,84,83,3679,game121
solved,20139037,5350508,20138945,954939,0,4395569,6291469,92,92,36830,game122
solved,144825871,42532732,144825779,16965765,0,25566967,50331653,92,92,282381,game123
solved,272,155,170,54,0,101,193,102,102,0,game124
solved,266,111,155,25,0,86,97,111,111,0,game125
solved,268,98,187,23,0,75,97,81,81,0,game126
unsolvable,1,1,0,0,0,1,53,0,0,0,game127
solved,17584,7361,17497,2017,0,5344,6151,87,87,42,game128
unsolvable,1,1,0,0,0,1,53,0,0,0,game129
solved,533395,185480,533294,11728,0,173752,196613,101,101,2018,game13
unsolvable,339,201,338,42,0,159,193,7,0,1,game130
solved,20227,10480,20141,815,0,9665,12289,86,86,51,game131
unsolvable,2841733,1097537,2841732,139924,0,957613,1572869,46,0,6141,game132
unsolvable,1,1,0,0,0,1,53,0,0,0,game133
solved,12186,5903,12099,1354,0,4549,6151,87,87,33,game134
solved,12094,3577,11996,218,0,3359,6151,98,98,25,game135
unsolvable,20174761,8062103,20174760,2779404,0,5282699,6291469,50,0,39729,game136
unsolvable,16747281,5596020,16747280,1376969,0,4219051,6291469,38,0,31652,game137
unsolvable,4438797,1416629,4438796,435232,0,981397,1572869,29,0,7229,game138
solved,36716011,11140789,36715933,850659,0,10290130,12582917,78,78,79052,game139
unsolvable,5115713,1505326,5115712,629222,0,876104,1572869,59,0,9251,game14
unsolvable,38951,20607,38950,6244,0,14363,24593,21,0,72,game140
unsolvable,22,16,21,4,0,12,53,5,0,0,game141
solved,123,87,36,24,0,63,97,87,87,0,game142
unsolvable,47325360,14340452,47325359,4235922,0,10104530,12582917,56,0,90598,game143
solved,120908,32604,120805,9183,0,23421,24593,103,103,198,game144
unsolvable,4,4,3,1,0,3,53,2,0,0,game145
solved,5608,1388,5520,32,0,1356,1543,88,88,13,game146
solved,558,226,458,27,0,199,389,100,100,1,game147
unsolvable,1344027,453573,1344026,86365,0,367208,393241,33,0,2581,game148
solved,10230,4430,10146,36,0,4394,6151,84,84,26,game149
solved,154,92,66,30,0,62,97,88,88,0,game15
solved,5715,1215,5626,42,0,1173,1543,89,89,16,game150
solved,1083703,366096,1083611,36627,0,329469,393241,92,92,1836,game151
unsolvable,118300,34580,118299,7576,0,27004,49157,38,0,215,game152
solved,115,98,40,24,0,74,97,75,75,0,game153
solved,202456,57782,202367,8307,0,49475,98317,89,89,332,game154
unsolvable,1063,631,1062,12,0,619,769,21,0,4,game155
unsolvable,1,1,0,0,0,1,53,0,0,0,game156
unsolvable,87,48,86,9,0,39,53,6,0,0,game157
solved,19086,4955,18984,46,0,4909,6151,102,102,44,game158
solved,36507,14062,36405,2410,0,11652,12289,102,102,66,game159
unsolvable,25,23,24,4,0,19,53,6,0,0,game16
solved,2192,1217,2116,277,0,940,1543,76,76,3,game160
unsolvable,10778,5309,10777,1174,0,4135,6151,13,0,25,game161
unsolvable,30,24,29,0,0,24,53,5,0,0,game162
solved,6244,2731,6147,591,0,2140,3079,97,97,13,game163
unsolvable,4,4,3,0,0,4,53,3,0,0,game164
solved,982234,333010,982131,137564,0,195446,196613,103,103,1428,game165
unsolvable,191281,73183,191280,10287,0,62896,98317,30,0,395,game166
unsolvable,1089013,352024,1089012,24199,0,327825,393241,34,0,1907,game167
solved,8623,3226,8521,1014,0,2212,3079,102,102,14,game168
unsolvable,172704,68588,172703,3107,0,65481,98317,18,0,376,game169
unsolvable,23918,13024,23917,2253,0,10771,12289,22,0,42,game17
solved,185,115,92,39,0,76,97,93,93,0,game170
unsolvable,13518,6173,13517,0,0,6173,12289,13,0,39,game171
solved,115,94,21,37,0,57,97,94,94,0,game172
solved,11857,4792,11772,3091,0,1701,3079,85,85,18,game173
solved,529,293,444,25,0,268,389,85,85,1,game174
unsolvable,59938,24298,59937,4,0,24294,24593,26,0,147,game175
unsolvable,2,2,1,1,0,1,53,1,0,0,game176
solved,808385,160950,808293,13053,0,147897,196613,92,92,1275,game177
solved,309,137,198,30,0,107,193,111,111,0,game178
solved,159,104,67,37,0,67,97,92,92,0,game179
solved,253,161,161,37,0,124,193,92,92,0,game18
unsolvable,459152,151484,459151,21632,0,129852,196613,26,0,739,game180
unsolvable,316,205,315,10,0,195,389,12,0,2,game181
solved,258,127,166,29,0,98,193,92,92,0,game182
unsolvable,3,3,2,0,0,3,53,2,0,0,game183
solved,41823357,12164236,41823275,4819217,0,7345019,12582917,82,82,75666,game184
solved,84610,38077,84522,8550,0,29527,49157,88,88,161,game185
solved,12689,5840,12596,1170,0,4670,6151,93,93,21,game186
unsolvable,613409,227114,613408,21435,0,205679,393241,29,0,1193,game187
solved,671339,178788,671248,12163,0,166625,196613,91,91,1051,game188
solved,3013228,843944,3013133,359430,0,484514,786433,95,95,4189,game189
solved,192,107,93,30,0,77,97,99,99,0,game19
unsolvable,697011,250633,697010,59135,0,191498,196613,36,0,1174,game190
solved,31652,16519,31560,5081,0,11438,12289,92,92,58,game191
solved,44717,18140,44624,1679,0,16461,24593,93,93,88,game192
solved,51291703,16056656,51291609,5418489,0,10638167,12582917,94,94,99079,game193
solved,27619,9751,27524,258,0,9493,12289,95,95,71,game194
solved,2736,1638,2637,74,0,1564,3079,99,99,10,game195
solved,251,162,164,36,0,126,193,87,87,0,game196
unsolvable,7,7,6,0,0,7,53,3,0,0,game197
solved,254935,81493,254837,20989,0,60504,98317,98,98,389,game198
solved,23482,5225,23391,1580,0,3645,6151,91,91,31,game199
solved,64731,22332,64634,3891,0,18441,24593,97,97,122,game2
solved,12061415,3620410,12061324,747703,0,2872707,3145739,91,91,22781,game20
solved,19632,5181,19546,1516,0,3665,6151,86,86,26,game200
solved,172,119,79,35,0,84,97,93,93,0,game201
unsolvable,32,26,31,4,0,22,53,7,0,0,game202
unsolvable,1023,666,1022,139,0,527,769,13,0,3,game203
solved,9501,3925,9416,733,0,3192,6151,85,85,22,game204
unsolvable,5,4,4,0,0,4,53,2,0,0,game205
solved,6324,2524,6236,986,0,1538,1543,88,88,8,game206
unsolvable,5474,2994,5473,100,0,2894,3079,20,0,12,game207
unsolvable,1862513,652881,1862512,166036,0,486845,786433,36,0,2929,game208
solved,4749,1785,4667,846,0,939,1543,82,82,7,game209
solved,111,76,35,30,0,46,53,76,76,0,game21
solved,131,96,48,35,0,61,97,83,83,0,game210
solved,11136,5997,11052,1522,0,4475,6151,84,84,23,game211
solved,27448,10158,27365,1962,0,8196,12289,83,83,45,game212
unsolvable,73,49,72,0,0,49,53,6,0,0,game213
solved,648,213,555,40,0,173,193,93,93,1,game214
unsolvable,124520,60421,124519,20287,0,40134,49157,19,0,232,game215
solved,11813,5372,11695,30,0,5342,6151,118,118,25,game216
solved,1034,379,957,23,0,356,389,77,77,2,game217
timed-out,178420907,49050402,178420868,21581443,0,27468959,50331653,70,39,300000,game218
