Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,470,144,386,31,0,113,193,84,84,0,game1
solved,552546,172434,552444,36023,0,136411,196613,102,102,633,game10
solved,471,349,383,29,0,320,389,88,88,0,game100
unsolvable,22,15,21,1,0,14,53,5,0,0,game1000
solved,172,107,86,36,0,71,97,86,86,0,game101
solved,817,437,701,44,0,393,769,116,116,1,game102
solved,9160,1593,9056,299,0,1294,1543,104,104,11,game103
solved,934871,401798,934779,153313,0,248485,393241,92,92,1304,game104
unsolvable,3506492,1306649,3506491,329468,0,977181,1572869,30,0,5186,game105
unsolvable,64843,27111,64842,2328,0,24783,49157,25,0,107,game106
solved,11400,4547,11306,1525,0,3022,3079,94,94,14,game107
solved,113223,38930,113140,7225,0,31705,49157,83,83,158,game108
solved,1001292,413037,1001194,97261,0,315776,393241,98,98,1503,game109
unsolvable,89846,34587,89845,1922,0,32665,49157,28,0,139,game11
solved,98945,40774,98862,10064,0,30710,49157,83,83,135,game110
solved,711924,273157,711828,58659,0,214498,393241,96,96,988,game111
unsolvable,2,2,1,0,0,2,53,1,0,0,game112
unsolvable,30,26,29,1,0,25,53,6,0,0,game113
unsolvable,34706195,10934215,34706194,5418061,0,5516154,6291469,85,0,41753,game114
solved,171,106,75,39,0,67,97,96,96,0,game115
unsolvable,208720,70829,208719,15352,0,55477,98317,20,0,289,game116
solved,9683,4467,9601,607,0,3860,6151,82,82,14,game117
unsolvable,2,2,1,1,0,1,53,1,0,0,game118
solved,9421,3727,9314,1346,0,2381,3079,107,107,12,game119
solved,371,155,289,40,0,115,193,82,82,0,game12
unsolvable,1,1,0,0,0,1,53,0,0,0,game120
solved,2626,917,2532,384,0,533,769,94,94,2,game121
unsolvable,2,2,1,0,0,2,53,1,0,0,game122
unsolvable,1012,670,1011,46,0,624,769,20,0,2,game123
solved,34500,15315,34403,5276,0,10039,12289,97,97,45,game124
unsolvable,35,27,34,0,0,27,53,4,0,0,game125
solved,4574,1944,4465,464,0,1480,1543,109,109,7,game126
solved,1446,550,1349,74,0,476,769,97,97,2,game127
solved,128,89,39,40,0,49,53,89,89,0,game128
unsolvable,3937308,1632176,3937307,604818,0,1027358,1572869,37,0,5452,game129
solved,1886,867,1793,48,0,819,1543,93,93,3,game13
solved,10762477,3457327,10762386,1314972,0,2142355,3145739,126,91,15073,game130
unsolvable,379140,161328,379139,67204,0,94124,98317,50,0,525,game131
unsolvable,605790,217110,605789,53006,0,164104,196613,21,0,1322,game132
solved,171,95,87,38,0,57,97,84,84,0,game133
solved,183,120,92,36,0,84,97,91,91,0,game134
solved,466,268,381,72,0,196,389,85,85,1,game135
unsolvable,22129,11489,22128,3504,0,7985,12289,37,0,40,game136
