Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,471,270,378,36,0,234,389,93,93,0,game1
solved,247,93,156,22,0,71,97,91,91,0,game10
solved,107,74,42,25,0,49,53,65,65,0,game100
solved,1856,563,1770,27,0,536,769,86,86,2,game1000
solved,857625,157421,857533,18574,0,138847,196613,92,92,855,game101
solved,121,70,51,28,0,42,53,70,70,0,game102
unsolvable,11121254,2920199,11121253,753251,0,2166948,3145739,58,0,15712,game103
solved,199,96,105,32,0,64,97,94,94,0,game104
solved,6219,1378,6126,453,0,925,1543,93,93,5,game105
timed-out,51810479,13605214,51810444,6074833,0,7530381,12582917,58,35,60000,game106
solved,122,65,57,25,0,40,53,65,65,0,game107
solved,99,79,20,33,0,46,53,79,79,0,game108
solved,426,158,347,36,0,122,193,79,79,0,game109
solved,495,149,418,65,0,84,97,77,77,0,game11
solved,212178,51935,212099,6304,0,45631,49157,103,79,256,game110
solved,164,79,85,35,0,44,53,79,79,0,game111
solved,191,82,114,34,0,48,53,77,77,0,game112
solved,120,77,43,32,0,45,53,77,77,0,game113
solved,346368,57222,346276,16261,0,40961,49157,92,92,356,game114
solved,385,119,306,49,0,70,97,79,79,0,game115
solved,2017,320,1939,33,0,287,389,78,78,1,game116
solved,93141,24255,93065,9948,0,14307,24593,76,76,94,game117
solved,114,78,36,38,0,40,53,78,78,0,game118
solved,82,66,16,28,0,38,53,66,66,0,game119
solved,314,134,227,50,0,84,97,87,87,0,game12
solved,250,88,162,31,0,57,97,88,88,0,game120
solved,248,112,170,29,0,83,97,78,78,0,game121
solved,262,98,184,38,0,60,97,78,78,0,game122
solved,2598252,424015,2598153,32291,0,391724,393241,99,99,4346,game123
solved,719,276,628,36,0,240,389,91,91,2,game124
solved,135,75,60,31,0,44,53,75,75,0,game125
solved,232,92,140,31,0,61,97,92,92,0,game126
solved,3685480,675159,3685394,43,0,675116,786433,86,86,4288,game127
solved,108,77,31,35,0,42,53,77,77,0,game128
solved,1139,260,1057,45,0,215,389,82,82,1,game129
unsolvable,4783803,1299275,4783802,131557,0,1167718,1572869,56,0,6377,game13
unsolvable,39537,18160,39536,5533,0,12627,24593,30,0,48,game130
solved,253,82,172,40,0,42,53,81,81,0,game131
solved,3546328,691546,3546246,30,0,691516,786433,82,82,4642,game132
solved,6389,1245,6305,65,0,1180,1543,84,84,7,game133
solved,23363,4701,23275,506,0,4195,6151,88,88,22,game134
solved,153,102,69,34,0,68,97,84,84,0,game135
solved,1018,218,930,40,0,178,193,88,88,0,game136
solved,240,113,164,28,0,85,97,76,76,0,game137
solved,408,176,326,33,0,143,193,82,82,0,game138
solved,1328,253,1201,35,0,218,389,127,127,1,game139
solved,271,96,182,32,0,64,97,89,89,0,game14
solved,337,182,259,83,0,99,193,78,78,0,game140
solved,120,69,51,22,0,47,53,69,69,0,game141
solved,392,148,303,30,0,118,193,89,89,0,game142
solved,168,82,87,40,0,42,53,81,81,0,game143
solved,86,72,14,23,0,49,53,72,72,0,game144
solved,10126,3626,10045,1168,0,2458,3079,81,81,10,game145
solved,63946,21632,63848,4459,0,17173,24593,98,98,79,game146
timed-out,40955781,11425012,40955753,2409525,0,9015487,12582917,77,28,60000,game147
solved,11718211,2603297,11718125,515967,0,2087330,3145739,86,86,13961,game148
solved,306,104,228,36,0,68,97,78,78,0,game149
solved,1074,314,985,42,0,272,389,89,89,1,game15
solved,249,105,156,34,0,71,97,93,93,0,game150
solved,217,91,135,32,0,59,97,82,82,0,game151
solved,41990,11820,41907,4161,0,7659,12289,83,83,41,game152
solved,225,95,131,42,0,53,53,94,94,0,game153
solved,155,78,78,38,0,40,53,77,77,0,game154
solved,736,142,631,28,0,114,193,105,105,0,game155
timed-out,39482549,11429423,39482524,1922420,0,9507003,12582917,57,25,60000,game156
timed-out,48799707,14527356,48799688,5103798,0,9423558,12582917,81,19,60000,game157
solved,353,156,261,41,0,115,193,92,92,1,game158
solved,233,98,135,36,0,62,97,98,98,0,game159
solved,201,86,117,33,0,53,53,84,84,0,game16
solved,174,84,90,29,0,55,97,84,84,0,game160
solved,187,125,100,44,0,81,97,87,87,0,game161
solved,97,77,20,26,0,51,53,77,77,0,game162
solved,3168,834,3084,39,0,795,1543,84,84,3,game163
solved,112,72,40,31,0,41,53,72,72,0,game164
solved,113,78,35,36,0,42,53,78,78,0,game165
solved,53551,14321,53447,4529,0,9792,12289,104,104,56,game166
solved,19595,8428,19511,1264,0,7164,12289,84,84,24,game167
solved,22279092,6757125,22279004,3144136,0,3612989,6291469,88,88,25184,game168
solved,143,71,72,24,0,47,53,71,71,0,game169
solved,154,79,79,25,0,54,97,75,75,0,game17
solved,644,256,571,39,0,217,389,73,73,1,game170
solved,953,565,881,27,0,538,769,72,72,1,game171
solved,119,76,44,31,0,45,53,75,75,0,game172
solved,113,70,43,27,0,43,53,70,70,0,game173
solved,140,80,60,31,0,49,53,80,80,0,game174
solved,134,80,59,36,0,44,53,75,75,0,game175
solved,428,192,339,60,0,132,193,89,89,0,game176
solved,2057,528,1956,34,0,494,769,101,101,2,game177
solved,92951,19511,92864,7745,0,11766,12289,87,87,86,game178
timed-out,45981800,12299882,45981767,3468199,0,8831683,12582917,70,33,60000,game179
solved,203,81,126,29,0,52,53,77,77,0,game18
solved,174,82,92,33,0,49,53,82,82,0,game180
solved,233,95,152,34,0,61,97,81,81,0,game181
solved,133,79,58,35,0,44,53,75,75,0,game182
solved,359,105,255,40,0,65,97,104,104,0,game183
solved,116,81,35,37,0,44,53,81,81,0,game184
solved,2102,866,2018,404,0,462,769,84,84,1,game185
solved,205,102,122,36,0,66,97,83,83,0,game186
solved,1784,536,1707,74,0,462,769,77,77,2,game187
solved,576933,134168,576851,26425,0,107743,196613,82,82,580,game188
solved,151,82,69,36,0,46,53,82,82,0,game189
solved,39484,7339,39394,355,0,6984,12289,90,90,36,game19
solved,489,144,416,25,0,119,193,73,73,0,game190
solved,123,80,43,33,0,47,53,80,80,0,game191
solved,163,77,90,32,0,45,53,73,73,0,game192
solved,222210,27611,222128,3210,0,24401,24593,110,82,198,game193
solved,111896,20667,111821,673,0,19994,24593,75,75,115,game194
solved,5584,1618,5494,117,0,1501,1543,90,90,5,game195
solved,242538,38551,242453,9496,0,29055,49157,85,85,221,game196
solved,150,92,58,35,0,57,97,92,92,0,game197
solved,453,189,366,66,0,123,193,87,87,0,game198
solved,1679,278,1594,29,0,249,389,85,85,1,game199
solved,303,123,222,48,0,75,97,81,81,0,game2
solved,750,294,654,31,0,263,389,96,96,1,game20
solved,101,73,28,25,0,48,53,73,73,0,game200
solved,353,112,249,34,0,78,97,104,104,0,game201
solved,167,84,89,31,0,53,53,78,78,0,game202
solved,10495,1776,10414,30,0,1746,3079,81,81,10,game203
solved,115,80,35,32,0,48,53,80,80,0,game204
solved,173,79,96,29,0,50,53,77,77,0,game205
unsolvable,1853301,599817,1853300,163983,0,435834,786433,35,0,3696,game206
solved,1038,200,943,47,0,153,193,95,95,0,game207
solved,3338,556,3250,32,0,524,769,88,88,3,game208
solved,179,79,100,29,0,50,53,79,79,0,game209
solved,24914,6448,24830,1319,0,5129,6151,84,84,28,game21
solved,463,156,348,65,0,91,97,115,115,0,game210
solved,164,79,87,31,0,48,53,77,77,0,game211
solved,223,91,132,30,0,61,97,91,91,0,game212
solved,147,83,64,28,0,55,97,83,83,0,game213
unsolvable,4734,2824,4733,171,0,2653,3079,33,0,8,game214
unsolvable,49875,14693,49874,902,0,13791,24593,32,0,68,game215
solved,130,75,55,32,0,43,53,75,75,0,game216
solved,9101,1942,9022,233,0,1709,3079,79,79,9,game217
solved,191,86,105,31,0,55,97,86,86,0,game218
solved,153,80,73,29,0,51,53,80,80,0,game219
solved,190,121,105,42,0,79,97,85,85,0,game22
solved,302,135,229,32,0,103,193,73,73,0,game220
solved,134,84,50,38,0,46,53,84,84,0,game221
solved,506,155,427,70,0,85,97,79,79,0,game222
solved,103,78,25,30,0,48,53,78,78,0,game223
solved,165,89,76,35,0,54,97,89,89,0,game224
solved,734,285,647,61,0,224,389,87,87,0,game225
solved,335,129,253,34,0,95,97,82,82,0,game226
unsolvable,321258,118655,321257,34355,0,84300,98317,61,0,382,game227
solved,26758,4930,26649,1592,0,3338,6151,109,109,21,game228
solved,148,77,71,30,0,47,53,77,77,0,game229
solved,343,113,264,57,0,56,97,79,79,0,game23
solved,588,129,519,28,0,101,193,69,69,0,game230
solved,88002,25353,87909,7942,0,17411,24593,93,93,86,game231
solved,352,237,262,37,0,200,389,90,90,0,game232
solved,10103,1242,10011,40,0,1202,1543,92,92,8,game233
solved,7078,1073,7013,27,0,1046,1543,65,65,6,game234
