Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,10342007,3907496,10342006,1913118,0,1994378,3145739,39,0,14728,game1
solved,40200,12000,40111,6383,0,5617,6151,89,89,35,game10
solved,183,98,88,29,0,69,97,95,95,0,game100
solved,395637,81949,395550,4800,0,77149,98317,87,87,528,game1000
solved,12806,2703,12726,811,0,1892,3079,80,80,14,game101
solved,199,98,113,25,0,73,97,86,86,0,game102
timed-out,53600727,20907597,53600700,12949777,0,7957820,12582917,55,27,60000,game103
solved,178,107,81,40,0,67,97,97,97,0,game104
solved,30529908,10373240,30529810,5032366,0,5340874,6291469,98,98,36484,game105
solved,3998,1035,3915,311,0,724,769,83,83,6,game106
solved,32374,10693,32295,5015,0,5678,6151,79,79,36,game107
solved,442,138,350,47,0,91,97,92,92,1,game108
timed-out,46401050,12851700,46401010,5251036,0,7600664,12582917,65,40,60000,game109
solved,163,87,76,34,0,53,53,87,87,0,game11
solved,238,101,142,40,0,61,97,96,96,0,game110
solved,190,92,108,25,0,67,97,82,82,0,game111
solved,857,254,773,28,0,226,389,84,84,0,game112
solved,166,94,78,33,0,61,97,88,88,0,game113
solved,106,72,34,31,0,41,53,72,72,0,game114
solved,376,240,289,62,0,178,193,87,87,0,game115
solved,144,108,67,29,0,79,97,77,77,0,game116
solved,1335,347,1249,45,0,302,389,86,86,1,game117
solved,250,156,163,39,0,117,193,87,87,0,game118
solved,1009,435,917,36,0,399,769,92,92,2,game119
solved,134,79,55,31,0,48,53,79,79,0,game12
solved,714,486,626,252,0,234,389,88,88,0,game120
solved,423,173,336,37,0,136,193,87,87,1,game121
solved,374,122,278,33,0,89,97,96,96,0,game122
solved,1918,280,1836,46,0,234,389,82,82,3,game123
solved,974782,300997,974684,86286,0,214711,393241,98,98,1518,game124
solved,106,88,18,40,0,48,53,88,88,0,game125
solved,136,81,57,32,0,49,53,79,79,0,game126
solved,196,85,111,32,0,53,53,85,85,0,game127
solved,135,101,37,33,0,68,97,98,98,0,game128
