Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,1333273,515278,1333272,79016,0,436262,786433,27,0,2053,game1
solved,127,92,35,43,0,49,53,92,92,0,game10
solved,382,207,286,29,0,178,193,96,96,0,game100
solved,13992,2152,13912,33,0,2119,3079,80,80,15,game1000
unsolvable,22613657,5106911,22613656,368364,0,4738547,6291469,50,0,31309,game101
solved,1026150,351669,1026079,138113,0,213556,393241,71,71,1103,game102
solved,20815822,6251048,20815727,3187655,0,3063393,3145739,122,95,22791,game103
solved,9283550,2244236,9283450,408878,0,1835358,3145739,100,100,13972,game104
solved,401,166,302,43,0,123,193,99,99,0,game105
solved,147,101,60,42,0,59,97,87,87,0,game106
solved,326,193,240,28,0,165,193,86,86,0,game107
solved,4613,1844,4521,547,0,1297,1543,92,92,5,game108
unsolvable,255050,103036,255049,26900,0,76136,98317,26,0,322,game109
solved,1378855,532106,1378767,295299,0,236807,393241,88,88,1359,game11
unsolvable,8,6,7,0,0,6,53,2,0,0,game110
solved,232410,72865,232315,15898,0,56967,98317,95,95,272,game111
solved,9206040,2615346,9205955,883248,0,1732098,3145739,138,85,10543,game112
unsolvable,19,14,18,0,0,14,53,6,0,0,game113
solved,201,142,106,45,0,97,97,95,95,0,game114
solved,19129608,5487077,19129521,1692715,0,3794362,6291469,87,87,25391,game115
solved,107987,48590,107901,2273,0,46317,49157,86,86,171,game116
unsolvable,479,267,478,32,0,235,389,11,0,0,game117
solved,196638,83369,196542,21810,0,61559,98317,96,96,251,game118
unsolvable,474,283,473,16,0,267,389,9,0,0,game119
solved,904,603,824,223,0,380,389,80,80,2,game12
unsolvable,6690,3468,6689,766,0,2702,3079,13,0,9,game120
solved,2665,1628,2585,356,0,1272,1543,80,80,3,game121
solved,199,118,103,47,0,71,97,96,96,0,game122
unsolvable,8,8,7,1,0,7,53,5,0,0,game123
timed-out,35205680,11468589,35205659,1623320,0,9845269,12582917,43,21,60000,game124
solved,118,86,32,25,0,61,97,86,86,0,game125
solved,579,226,483,36,0,190,193,96,96,0,game126
unsolvable,1833,954,1832,346,0,608,769,17,0,3,game127
solved,2443,1142,2328,39,0,1103,1543,115,115,5,game128
unsolvable,1,1,0,0,0,1,53,0,0,0,game129
solved,20757452,6118112,20757365,797581,0,5320531,6291469,132,87,34516,game13
unsolvable,42,34,41,15,0,19,53,8,0,0,game130
unsolvable,5189,2787,5188,927,0,1860,3079,16,0,7,game131
unsolvable,9110,4534,9109,856,0,3678,6151,27,0,15,game132
unsolvable,48,33,47,9,0,24,53,5,0,0,game133
solved,763,435,678,24,0,411,769,85,85,1,game134
unsolvable,144739,62052,144738,7736,0,54316,98317,49,0,214,game135
unsolvable,621328,254784,621327,68512,0,186272,196613,32,0,798,game136
solved,1618,785,1505,55,0,730,769,113,113,2,game137
unsolvable,10381231,3126777,10381230,485659,0,2641118,3145739,37,0,20200,game138
solved,3820,1208,3728,45,0,1163,1543,92,92,5,game139
timed-out,38487907,8853005,38487866,1404465,0,7448540,12582917,56,41,60000,game14
solved,263777,65953,263684,36768,0,29185,49157,93,93,223,game140
solved,1331358,471673,1331274,220672,0,251001,393241,84,84,1409,game141
unsolvable,277407,92491,277406,9051,0,83440,98317,30,0,439,game142
unsolvable,982891,385177,982890,95560,0,289617,393241,51,0,1621,game143
solved,24059,11509,23972,4782,0,6727,12289,87,87,33,game144
solved,2443,1010,2329,30,0,980,1543,114,114,3,game145
solved,3786,955,3697,472,0,483,769,89,89,3,game146
solved,184,98,93,25,0,73,97,91,91,0,game147
solved,119,93,31,28,0,65,97,88,88,0,game148
solved,3738819,1014338,3738738,112400,0,901938,1572869,81,81,6793,game149
solved,113,84,29,31,0,53,97,84,84,0,game15
solved,5082,1517,4996,614,0,903,1543,86,86,5,game150
timed-out,51567933,10843454,51567898,4381422,0,6462032,12582917,153,35,60000,game151
solved,136,88,52,32,0,56,97,84,84,0,game152
solved,6788326,2131139,6788220,385356,0,1745783,3145739,106,106,9585,game153
solved,1416,330,1320,59,0,271,389,96,96,1,game154
unsolvable,4,4,3,1,0,3,53,2,0,0,game155
unsolvable,1701489,630952,1701488,136787,0,494165,786433,42,0,2436,game156
solved,9807,4752,9717,630,0,4122,6151,90,90,13,game157
solved,329,147,240,26,0,121,193,89,89,0,game158
unsolvable,80,62,79,7,0,55,97,11,0,0,game159
unsolvable,1367,767,1366,227,0,540,769,11,0,3,game16
solved,325,193,233,28,0,165,193,92,92,0,game160
solved,737,396,646,59,0,337,389,91,91,1,game161
unsolvable,73,61,72,4,0,57,97,10,0,0,game162
solved,308,146,196,30,0,116,193,112,112,0,game163
solved,2376,1298,2285,47,0,1251,1543,91,91,4,game164
solved,125,87,39,29,0,58,97,86,86,0,game165
unsolvable,10717246,3858831,10717245,981625,0,2877206,3145739,49,0,17729,game166
unsolvable,2,2,1,0,0,2,53,1,0,0,game167
solved,11481300,3809460,11481212,588007,0,3221453,6291469,88,88,21076,game168
timed-out,46733546,11296813,46733510,4226323,0,7070490,12582917,82,36,60000,game169
solved,293,111,187,39,0,72,97,106,106,0,game17
solved,922,460,846,23,0,437,769,76,76,1,game170
solved,2320,435,2213,37,0,398,769,107,107,2,game171
solved,135166,57978,135067,5078,0,52900,98317,99,99,210,game172
unsolvable,4257324,1858087,4257323,624352,0,1233735,1572869,46,0,6160,game173
solved,4762,1137,4673,110,0,1027,1543,89,89,6,game174
unsolvable,30501,13012,30500,2666,0,10346,12289,15,0,48,game175
solved,537143,145922,537042,28713,0,117209,196613,101,101,701,game176
unsolvable,3,3,2,0,0,3,53,1,0,0,game177
unsolvable,410358,153573,410357,30896,0,122677,196613,21,0,1090,game178
solved,851,351,758,126,0,225,389,93,93,0,game179
solved,155,109,63,41,0,68,97,92,92,0,game18
solved,16033,3283,15928,935,0,2348,3079,105,105,16,game180
solved,107899,27211,107807,2409,0,24802,49157,92,92,146,game181
unsolvable,7264554,2659025,7264553,473226,0,2185799,3145739,73,0,11119,game182
timed-out,44603809,7710514,44603770,1082493,0,6628021,12582917,134,39,60000,game183
solved,136,92,48,31,0,61,97,88,88,0,game184
unsolvable,6947950,2558636,6947949,244556,0,2314080,3145739,40,0,13547,game185
solved,338,201,236,45,0,156,193,102,102,0,game186
unsolvable,122,76,121,7,0,69,97,9,0,0,game187
solved,908,348,826,63,0,285,389,82,82,2,game188
solved,12023,4022,11934,2237,0,1785,3079,89,89,11,game189
unsolvable,481,262,480,27,0,235,389,9,0,0,game19
solved,929,306,830,44,0,262,389,99,99,1,game190
unsolvable,8,8,7,2,0,6,53,5,0,0,game191
timed-out,39515051,10799470,39515018,3039415,0,7760055,12582917,47,33,60000,game192
unsolvable,705,396,704,95,0,301,389,10,0,0,game193
solved,108,90,25,31,0,59,97,83,83,0,game194
solved,9875566,2872179,9875484,269040,0,2603139,3145739,183,82,15670,game195
unsolvable,397,257,396,8,0,249,389,12,0,1,game196
solved,125,80,45,34,0,46,53,80,80,0,game197
unsolvable,83,48,82,0,0,48,53,6,0,0,game198
solved,300,132,198,29,0,103,193,102,102,0,game199
solved,130,91,45,31,0,60,97,85,85,0,game2
unsolvable,151898,55558,151897,17100,0,38458,49157,40,0,210,game20
unsolvable,1,1,0,0,0,1,53,0,0,0,game200
timed-out,43604992,14131166,43604954,6331584,0,7799582,12582917,68,38,60000,game201
unsolvable,185871,85561,185870,35240,0,50321,98317,27,0,222,game202
solved,1282856,346017,1282758,95469,0,250548,393241,98,98,1666,game203
unsolvable,55966,27179,55965,5059,0,22120,24593,16,0,97,game204
solved,157,89,68,30,0,59,97,89,89,0,game205
solved,448,296,355,46,0,250,389,93,93,0,game206
unsolvable,4364351,1267236,4364350,167848,0,1099388,1572869,51,0,6846,game207
solved,247,110,151,44,0,66,97,96,96,0,game208
solved,27291,9217,27205,1274,0,7943,12289,86,86,48,game209
solved,57827,16365,57735,44,0,16321,24593,92,92,107,game21
solved,230,111,135,42,0,69,97,95,95,0,game210
solved,2389703,824018,2389612,380312,0,443706,786433,91,91,2978,game211
solved,2800,871,2702,98,0,773,1543,98,98,4,game212
solved,283,132,186,34,0,98,193,97,97,0,game213
unsolvable,1279934,399738,1279933,33187,0,366551,393241,21,0,1970,game214
unsolvable,959,548,958,167,0,381,389,10,0,3,game215
unsolvable,97,69,96,18,0,51,53,8,0,0,game216
solved,1393,609,1310,74,0,535,769,83,83,2,game217
unsolvable,7,7,6,0,0,7,53,3,0,0,game218
solved,150271,39998,150184,10407,0,29591,49157,87,87,194,game219
solved,917,594,823,35,0,559,769,94,94,3,game22
unsolvable,465,292,464,56,0,236,389,8,0,0,game220
solved,323,111,239,34,0,77,97,84,84,0,game221
solved,49638,26987,49534,7899,0,19088,24593,104,104,76,game222
