Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,19507,7938,19506,469,0,7469,12289,25,0,25,game1
solved,10319,4340,10239,29,0,4311,6151,80,80,13,game10
unsolvable,28030,11699,28029,1617,0,10082,12289,25,0,35,game100
solved,21355792,8088017,21355701,2588792,0,5499225,6291469,91,91,34633,game1000
unsolvable,5,5,4,0,0,5,53,3,0,0,game101
unsolvable,825705,289024,825704,49222,0,239802,393241,42,0,1335,game102
solved,148,97,56,31,0,66,97,92,92,0,game103
solved,6516164,2265901,6516078,1391978,0,873923,1572869,86,86,11211,game104
solved,155249,61382,155155,5408,0,55974,98317,94,94,358,game105
solved,130,102,41,35,0,67,97,89,89,0,game106
solved,1184,566,1098,42,0,524,769,86,86,3,game107
unsolvable,83,59,82,8,0,51,53,7,0,0,game108
unsolvable,1,1,0,0,0,1,53,0,0,0,game109
unsolvable,21078318,6864839,21078317,992125,0,5872714,6291469,68,0,39458,game11
unsolvable,3,3,2,0,0,3,53,2,0,0,game110
solved,519,355,432,32,0,323,389,87,87,1,game111
solved,116,99,32,39,0,60,97,84,84,0,game112
solved,147759,59907,147670,12135,0,47772,49157,89,89,206,game113
unsolvable,360,171,359,6,0,165,193,8,0,0,game114
unsolvable,9781,4618,9780,1,0,4617,6151,23,0,18,game115
solved,82271,29636,82166,758,0,28878,49157,105,105,142,game116
unsolvable,6,5,5,1,0,4,53,3,0,0,game117
unsolvable,5789,2775,5788,478,0,2297,3079,14,0,10,game118
unsolvable,31903,13564,31902,1724,0,11840,12289,23,0,53,game119
solved,109,90,19,43,0,47,53,90,90,0,game12
solved,27487,7323,27388,51,0,7272,12289,99,99,47,game120
solved,159,105,56,35,0,70,97,103,103,0,game121
solved,482,134,353,29,0,105,193,129,129,0,game122
solved,179321,62418,179219,33396,0,29022,49157,102,102,238,game123
solved,233,162,131,43,0,119,193,102,102,0,game124
solved,6878,2734,6790,502,0,2232,3079,88,88,12,game125
unsolvable,4,4,3,3,0,1,53,3,0,0,game126
solved,244,117,149,36,0,81,97,95,95,0,game127
unsolvable,2177775,811125,2177774,174238,0,636887,786433,23,0,4086,game128
timed-out,34858197,10546874,34858163,2036467,0,8510407,12582917,68,34,60000,game129
unsolvable,1934,982,1933,0,0,982,1543,11,0,3,game13
solved,587,217,461,28,0,189,193,126,126,0,game130
unsolvable,19406,9920,19405,1895,0,8025,12289,31,0,31,game131
solved,5020,2163,4926,332,0,1831,3079,94,94,9,game132
solved,67505,30573,67425,8882,0,21691,24593,80,80,89,game133
unsolvable,257782,84059,257781,1057,0,83002,98317,22,0,385,game134
unsolvable,2,2,1,1,0,1,53,1,0,0,game135
solved,152,89,69,27,0,62,97,83,83,0,game136
timed-out,38307365,9104204,38307334,2199947,0,6904257,12582917,38,31,60000,game137
unsolvable,1,1,0,0,0,1,53,0,0,0,game138
unsolvable,49,36,48,0,0,36,53,6,0,0,game139
solved,378976,134487,378890,19378,0,115109,196613,86,86,488,game14
unsolvable,210089,98521,210088,10092,0,88429,98317,38,0,320,game140
unsolvable,34307,14538,34306,0,0,14538,24593,14,0,55,game141
solved,36558,9764,36449,258,0,9506,12289,109,109,45,game142
unsolvable,229,142,228,14,0,128,193,10,0,0,game143
solved,8115,2739,8023,1039,0,1700,3079,92,92,7,game144
timed-out,38750594,11812930,38750558,3358202,0,8454728,12582917,49,36,60000,game145
solved,268,189,192,43,0,146,193,76,76,1,game146
solved,240,138,134,26,0,112,193,106,106,0,game147
solved,253,142,160,34,0,108,193,93,93,0,game148
unsolvable,12423,4967,12422,0,0,4967,6151,21,0,21,game149
unsolvable,281566,95612,281565,18612,0,77000,98317,18,0,433,game15
unsolvable,155251,68421,155250,20676,0,47745,49157,23,0,221,game150
solved,3068929,641483,3068841,125251,0,516232,786433,110,88,4007,game151
unsolvable,1237415,489747,1237414,25162,0,464585,786433,47,0,2360,game152
unsolvable,156,85,155,16,0,69,97,7,0,0,game153
solved,135173,59500,135080,6653,0,52847,98317,93,93,204,game154
solved,132,108,39,32,0,76,97,93,93,0,game155
unsolvable,298017,139839,298016,30840,0,108999,196613,42,0,482,game156
solved,2837,1501,2752,36,0,1465,1543,85,85,5,game157
unsolvable,19689,7827,19688,490,0,7337,12289,15,0,35,game158
timed-out,39654100,9602698,39654074,1709548,0,7893150,12582917,55,26,60000,game159
solved,1557,407,1478,32,0,375,389,79,79,1,game16
unsolvable,10880,4888,10879,135,0,4753,6151,21,0,17,game160
solved,674,288,602,60,0,228,389,72,72,0,game161
unsolvable,8099489,3331379,8099488,1068724,0,2262655,3145739,32,0,13327,game162
solved,73637,21470,73550,2428,0,19042,24593,87,87,102,game163
solved,3381,811,3293,68,0,743,769,88,88,4,game164
unsolvable,64833,26102,64832,8414,0,17688,24593,26,0,88,game165
unsolvable,99589,45801,99588,17491,0,28310,49157,41,0,135,game166
solved,603,277,516,135,0,142,193,87,87,1,game167
solved,81963,35732,81871,4426,0,31306,49157,92,92,139,game168
unsolvable,12,12,11,0,0,12,53,5,0,0,game169
unsolvable,17,15,16,0,0,15,53,3,0,0,game17
unsolvable,1,1,0,0,0,1,53,0,0,0,game170
