Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,321651,69210,321559,50,0,69160,98317,92,92,431,game1
solved,1045,429,960,199,0,230,389,85,85,1,game10
unsolvable,177228,65273,177227,8524,0,56749,98317,30,0,285,game100
unsolvable,5430,2241,5429,520,0,1721,3079,13,0,9,game1000
solved,287,128,195,36,0,92,97,92,92,0,game101
solved,324,209,235,28,0,181,193,89,89,0,game102
solved,154,90,64,37,0,53,53,90,90,0,game103
solved,270338,100494,270253,49948,0,50546,98317,85,85,290,game104
solved,208,88,120,32,0,56,97,88,88,0,game105
solved,201,113,112,27,0,86,97,89,89,0,game106
unsolvable,2003,1089,2002,157,0,932,1543,14,0,5,game107
solved,170526,72167,170451,44825,0,27342,49157,75,75,176,game108
timed-out,35100243,10213288,35100199,2039449,0,8173839,12582917,81,44,60000,game109
solved,3899,1632,3813,317,0,1315,1543,86,86,9,game11
unsolvable,402,267,401,153,0,114,193,16,0,0,game110
solved,142,84,58,30,0,54,97,84,84,0,game111
unsolvable,32470,16337,32469,2868,0,13469,24593,20,0,48,game112
solved,302,105,221,29,0,76,97,81,81,0,game113
solved,167,104,81,28,0,76,97,86,86,0,game114
solved,11957,2524,11871,28,0,2496,3079,86,86,15,game115
solved,151,95,56,29,0,66,97,95,95,0,game116
timed-out,34730378,8169832,34730343,545367,0,7624465,12582917,54,35,60000,game117
timed-out,39262932,12029857,39262909,4346209,0,7683648,12582917,36,23,60000,game118
solved,44347,17966,44258,5932,0,12034,12289,89,89,56,game119
solved,162401,74888,162310,52883,0,22005,24593,91,91,134,game12
unsolvable,133379,59404,133378,27755,0,31649,49157,63,0,154,game120
solved,638,202,564,54,0,148,193,74,74,1,game121
solved,1998,792,1900,115,0,677,769,98,98,3,game122
solved,6865,920,6785,77,0,843,1543,80,80,6,game123
solved,31573,11278,31482,39,0,11239,12289,91,91,42,game124
solved,930,317,831,29,0,288,389,99,99,1,game125
solved,12291,5883,12197,386,0,5497,6151,94,94,19,game126
unsolvable,2194646,618405,2194645,68459,0,549946,786433,47,0,3188,game127
solved,15112,4524,15028,1228,0,3296,6151,84,84,19,game128
solved,4861,1152,4774,49,0,1103,1543,87,87,6,game129
unsolvable,117408,50000,117407,13586,0,36414,49157,25,0,175,game13
solved,8623282,3123805,8623204,1625663,0,1498142,1572869,78,78,10274,game130
solved,69125,21076,69003,4805,0,16271,24593,122,122,98,game131
solved,136,92,48,31,0,61,97,88,88,0,game132
solved,23158265,6551628,23158177,2196724,0,4354904,6291469,196,88,34248,game133
unsolvable,1411387,513440,1411386,183664,0,329776,393241,43,0,1875,game134
solved,113,83,31,30,0,53,53,82,82,0,game135
solved,605,158,514,37,0,121,193,91,91,0,game136
solved,48760,10969,48670,1831,0,9138,12289,90,90,48,game137
solved,116,89,31,33,0,56,97,85,85,0,game138
timed-out,45142202,15953211,45142178,7923127,0,8030084,12582917,204,24,60000,game139
solved,14250926,3591254,14250837,676515,0,2914739,3145739,89,89,21303,game14
solved,302,145,208,26,0,119,193,94,94,0,game140
unsolvable,200352,69978,200351,11086,0,58892,98317,22,0,299,game141
solved,115,83,32,36,0,47,53,83,83,0,game142
solved,952836,221314,952740,36511,0,184803,196613,96,96,1200,game143
solved,123,83,41,29,0,54,97,82,82,0,game144
solved,991089,363206,991001,123612,0,239594,393241,88,88,1419,game145
solved,15349,3582,15249,173,0,3409,6151,100,100,20,game146
solved,1596540,512454,1596440,102739,0,409715,786433,100,100,2589,game147
timed-out,34277061,8637076,34277036,384774,0,8252302,12582917,57,25,60000,game148
solved,154,110,60,41,0,69,97,94,94,0,game149
solved,504,142,396,28,0,114,193,108,108,1,game15
solved,2443148,913481,2443046,382019,0,531462,786433,102,102,3363,game150
solved,24282,3818,24188,657,0,3161,6151,94,94,31,game151
solved,289,107,207,35,0,72,97,82,82,0,game152
solved,1213,815,1122,270,0,545,769,91,91,1,game153
solved,497768,111637,497683,2993,0,108644,196613,85,85,668,game154
solved,253,127,172,40,0,87,97,81,81,0,game155
solved,597,300,508,42,0,258,389,89,89,1,game156
solved,1757,772,1672,207,0,565,769,85,85,2,game157
solved,1554,838,1456,79,0,759,769,98,98,2,game158
solved,16289,6359,16186,991,0,5368,6151,103,103,40,game159
solved,355,105,265,34,0,71,97,90,90,0,game16
solved,1578,300,1482,35,0,265,389,96,96,1,game160
solved,678,263,585,73,0,190,193,93,93,0,game161
timed-out,47017654,9540237,47017612,2563965,0,6976272,12582917,336,42,60000,game162
solved,1115,521,1023,85,0,436,769,92,92,3,game163
solved,656,329,564,85,0,244,389,92,92,0,game164
