Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,134158395,49479289,134158394,23013824,0,26465465,50331653,121,0,195023,game1
solved,134,101,54,29,0,72,97,80,80,0,game10
solved,213350,72586,213251,18095,0,54491,98317,99,99,304,game100
unsolvable,12554,4826,12553,1161,0,3665,6151,22,0,19,game1000
solved,105,93,12,30,0,63,97,93,93,0,game101
solved,470,237,363,65,0,172,193,107,107,0,game102
solved,856,487,769,200,0,287,389,87,87,1,game103
solved,15708,6438,15612,282,0,6156,12289,96,96,31,game104
solved,140,103,51,33,0,70,97,89,89,0,game105
solved,74331,21229,74225,8635,0,12594,24593,147,106,91,game106
solved,142,107,49,31,0,76,97,93,93,0,game107
solved,116,87,38,31,0,56,97,78,78,0,game108
solved,153,102,60,31,0,71,97,93,93,0,game109
solved,183885,76936,183796,10780,0,66156,98317,89,89,334,game11
solved,465,265,376,31,0,234,389,89,89,0,game110
solved,10771006,3450250,10770909,842502,0,2607748,3145739,97,97,15576,game111
solved,326,113,232,39,0,74,97,94,94,0,game112
solved,10668131,3521555,10668047,1894557,0,1626998,3145739,84,84,11635,game113
solved,91,83,9,30,0,53,53,82,82,0,game114
solved,158,91,67,33,0,58,97,91,91,0,game115
solved,410126,66449,410032,43,0,66406,98317,94,94,490,game116
solved,170,93,77,36,0,57,97,93,93,0,game117
solved,1373968,532508,1373877,47227,0,485281,786433,91,91,3012,game118
unsolvable,17712587,6261011,17712586,2678600,0,3582411,6291469,50,0,22681,game119
unsolvable,162533028,62209848,162533027,42504231,0,19705617,25165843,102,0,166718,game12
solved,15068,3555,14979,1374,0,2181,3079,89,89,15,game120
solved,42700,17295,42608,5721,0,11574,12289,92,92,50,game121
solved,26710835,6882392,26710755,2476818,0,4405574,6291469,95,80,33772,game122
solved,3602,593,3513,116,0,477,769,89,89,3,game123
solved,114181,33068,114089,9273,0,23795,24593,92,92,130,game124
solved,180,95,85,31,0,64,97,95,95,0,game125
solved,195,135,104,34,0,101,193,91,91,0,game126
solved,132,81,51,22,0,59,97,81,81,0,game127
solved,147,98,51,43,0,55,97,96,96,0,game128
solved,66573,15490,66483,555,0,14935,24593,90,90,79,game129
solved,106,82,24,34,0,48,53,82,82,0,game13
unsolvable,2,2,1,0,0,2,53,1,0,0,game130
