"","Sample","Winnable","Unwinnable","Unknown","Confidence Interval","Mean Nodes","Average Time (seconds)","Total Time (minutes)","CI_Lower","CI_Upper","Configuration"
"Random",1000,830,142,28,"[0.777466, 0.880008]",2397449.41,3.3723,56.2058,0.777465935038086,0.880008404361448,"Random"
"Four Aces",1000,889,76,35,"[0.833022, 0.942001]",2184193.39,3.2262,53.7703,0.833021992356488,0.94200078954175,"Four Aces"
"Four Kings",1000,822,129,49,"[0.748073, 0.893462]",2536141.88,4.1339,68.8986,0.748073177811532,0.89346238972377,"Four Kings"
"No Duplicates",1000,822,130,48,"[0.749073, 0.892462]",2785854.49,4.0264,67.1063,0.749073177811532,0.89246238972377,"No Duplicates"
"Four Eights",1000,566,383,51,"[0.484087, 0.647408]",3305252.89,5.291,88.1829,0.484086643815751,0.647408224064156,"Four Eights"
"Random 5 Timeout",1000,831,152,17,"[0.789516, 0.86995]",5928646.27,8.1348,135.5801,0.789516311368376,0.869950374514186,"Random 5 Timeout"
"Four Eights (new) 5 Timeout",1000,594,389,17,"[0.546259, 0.641021]",6633348.42,10.5197,175.3285,0.546259274539663,0.641021294865053,"Four Eights (new) 5 Timeout"
"Four Sevens",1000,572,383,45,"[0.496115, 0.647334]",3058531.7,4.4456,74.0936,0.496115199952498,0.647333746825582,"Four Sevens"
"Four Queens",1000,575,389,36,"[0.508131, 0.641295]",2342406.04,3.4882,58.1374,0.508131193332335,0.641294792894832,"Four Queens"
"Four Jacks",1000,567,383,50,"[0.486091, 0.647396]",3328703.97,4.626,77.0995,0.486091086243957,0.647396128118978,"Four Jacks"
"Four Tens",1000,567,397,36,"[0.500091, 0.633396]",2549982.02,4.0614,67.6903,0.500091086243957,0.633396128118978,"Four Tens"
"Four Twos",1000,685,305,10,"[0.645548, 0.723036]",992446.44,1.1436,19.06,0.645548006716873,0.723036092643472,"Four Twos"
"Four Threes",1000,631,363,6,"[0.594645, 0.666353]",566841.01,1.1986,19.9763,0.594644550435556,0.666352838841229,"Four Threes"
"Four Fours",1000,622,373,5,"[0.586534, 0.656532]",619836.24,1.0693,17.8216,0.586533966966551,0.656532303962973,"Four Fours"
"Four Fives",1000,577,405,18,"[0.528142, 0.625268]",1379794.54,1.9997,33.3289,0.528142492951032,0.625268186242192,"Four Fives"
"Four Nines",1000,572,391,37,"[0.504115, 0.639334]",2980984.86,4.3793,72.9876,0.504115199952498,0.639333746825582,"Four Nines"
"Four Sixes",1000,585,397,18,"[0.536193, 0.633157]",1464438.75,2.2447,37.4123,0.536192811303858,0.633156639753597,"Four Sixes"
"Four Aces and Three Twos",1000,935,44,21,"[0.896994, 0.969676]",1648331.11,1.8996,31.6608,0.896994490686629,0.969676229430938,"Four Aces and Three Twos"
"Four Aces and Three Kings",1000,912,68,20,"[0.872828, 0.948019]",1417032,2.3743,39.5712,0.872827748950223,0.948019002057679,"Four Aces and Three Kings"
"Four Queens and Three Tens",1000,507,454,39,"[0.437046, 0.576901]",2864098.85,3.7056,61.7604,0.437045832785686,0.576900592595516,"Four Queens and Three Tens"
